vmname,cpu,memory
Load01,25,1024
Load02,25,1024
Load03,25,1024
Load04,25,1024
Load05,25,1024
Load06,25,1024
Load07,25,1024
Load08,25,1024
Load09,25,1024
Load10,25,1024
Load11,25,1024
Load12,25,1024
Load13,25,1024
Load14,25,1024
Load15,25,1024
Load16,25,1024
Load17,25,1024
Load18,25,1024
Load19,25,1024
Load20,25,1024
Load21,25,1024
Load22,50,2048
Load23,50,2048
Load24,50,2048
Load25,50,2048
Load26,50,2048
Load27,50,2048
Load28,50,2048
Load29,50,2048
Load30,50,2048
Load31,50,2048
Load32,50,2048
Load33,50,2048
Load34,50,2048
Load35,50,2048
Load36,50,2048
Load37,50,2048
Load38,50,2048
Load39,50,2048
Load40,50,2048
Load41,50,2048
Load42,50,2048
Load43,75,3072
Load44,75,3072
Load45,75,3072
Load46,75,3072
Load47,75,3072
Load48,75,3072
Load49,75,3072
Load50,75,3072
Load51,75,3072
Load52,75,3072
Load53,75,3072
Load54,75,3072
Load55,75,3072
Load56,75,3072
Load57,75,3072
Load58,75,3072
Load59,75,3072
Load60,75,3072
Load61,75,3072
Load62,75,3072
Load63,75,3072
Load64,99,3840
Load65,99,3840
Load66,99,3840
Load67,99,3840
Load68,99,3840
Load69,99,3840
Load70,99,3840
Load71,99,3840
Load72,99,3840
Load73,99,3840
Load74,99,3840
Load75,99,3840
Load76,99,3840
Load77,99,3840
Load78,99,3840
Load79,99,3840
Load80,99,3840
Load81,99,3840
Load82,99,3840
Load83,99,3840
Load84,99,3840
